locality,city,avg_rent,distance_to_college,metro_distance,safety_score,food_score,hospital_count,mall_count,public_transport_score,pollution_index,internet_speed,student_rating
Ashok Vihar,Delhi,10188,1.05,2.74,1,1,6,12,2,111,127,4.5
Karol Bagh,Delhi,13836,8.34,4.94,9,4,12,6,2,158,55,1.7
GTB Nagar,Delhi,11166,12.98,4.65,8,1,1,4,1,155,184,1.3
Saket,Delhi,15520,12.3,2.54,4,9,14,13,9,183,104,2.0
Mukherjee Nagar,Delhi,9843,5.0,0.52,4,3,7,6,4,73,160,2.5
Rohini,Delhi,6706,15.85,0.27,7,4,9,1,6,153,102,2.9
Mukherjee Nagar,Delhi,8875,19.74,1.86,6,9,5,2,7,145,87,4.0
Janakpuri,Delhi,10210,17.93,3.58,3,3,8,8,3,94,131,2.7
Pitampura,Delhi,13853,7.2,1.1,9,8,2,0,9,60,104,2.0
Kamla Nagar,Delhi,11334,17.15,3.3,9,2,6,6,4,239,174,3.0
Karol Bagh,Delhi,12081,18.96,0.75,9,1,6,5,2,292,143,3.9
Dwarka,Delhi,11873,16.74,2.29,3,2,14,13,1,159,67,2.1
Pitampura,Delhi,12852,1.45,0.84,7,5,4,8,1,62,161,3.2
Saket,Delhi,16166,8.39,2.22,7,6,2,7,6,159,157,2.1
Ashok Vihar,Delhi,12404,11.11,3.12,3,3,5,2,9,96,72,4.6
Pitampura,Delhi,11466,6.29,4.5,5,4,3,13,5,123,135,2.0
Okhla,Delhi,7186,13.11,3.2,2,5,14,11,2,180,83,4.9
Saket,Delhi,14247,2.34,1.41,7,5,17,14,1,123,30,4.2
Vasant Kunj,Delhi,15779,2.71,1.3,2,5,17,5,5,256,163,4.5
Vasant Kunj,Delhi,15159,1.22,4.78,8,1,2,6,6,232,197,3.8
Mukherjee Nagar,Delhi,7612,0.66,3.15,3,2,14,4,9,176,125,1.0
Ashok Vihar,Delhi,12596,16.71,1.3,4,5,6,14,5,245,31,1.3
Pitampura,Delhi,11490,13.24,1.45,1,9,16,5,4,198,26,1.8
Rajouri Garden,Delhi,12981,6.21,4.38,7,2,17,11,3,246,49,3.8
Okhla,Delhi,8821,8.25,1.03,6,4,1,9,5,164,80,3.6
Ashok Vihar,Delhi,10037,15.61,0.83,5,6,2,8,2,181,101,3.8
GTB Nagar,Delhi,7593,8.13,4.41,5,3,3,11,2,169,74,4.8
Saket,Delhi,15641,15.86,4.26,9,1,8,8,3,233,10,3.6
Kamla Nagar,Delhi,10193,4.68,1.09,9,4,18,3,9,168,89,2.3
GTB Nagar,Delhi,8469,0.91,2.36,2,7,14,11,8,138,82,4.5
Mayur Vihar,Delhi,11135,1.78,1.67,5,9,5,7,3,183,126,1.0
Karol Bagh,Delhi,13223,11.03,2.3,8,5,1,14,3,195,47,5.0
Rajouri Garden,Delhi,11405,3.93,2.76,3,5,2,12,1,276,181,3.4
Vasant Kunj,Delhi,15551,10.25,0.58,5,3,9,12,8,203,195,2.5
Laxmi Nagar,Delhi,9640,16.22,1.82,4,9,11,13,8,70,48,3.0
Janakpuri,Delhi,11763,18.91,0.39,4,8,16,4,6,284,120,1.0
Dwarka,Delhi,11966,9.25,0.3,8,7,13,11,6,134,196,1.1
Mayur Vihar,Delhi,9151,0.86,1.17,6,1,17,13,8,142,21,2.8
Malviya Nagar,Delhi,13773,17.77,1.19,7,9,4,11,3,89,124,4.4
Saket,Delhi,14413,7.99,4.73,6,1,19,3,6,284,177,4.4
Karol Bagh,Delhi,14953,17.6,1.21,5,8,7,8,3,197,20,4.8
Ashok Vihar,Delhi,12249,7.0,0.57,8,4,11,2,7,259,70,1.1
Rajouri Garden,Delhi,12123,8.58,0.66,7,5,10,0,7,165,114,3.8
Okhla,Delhi,8271,13.85,3.05,1,4,17,11,9,62,95,3.1
Dwarka,Delhi,11729,10.03,2.97,5,9,16,9,9,155,86,3.4
Rajouri Garden,Delhi,13145,14.13,0.93,1,1,10,4,9,199,24,4.3
Pitampura,Delhi,10579,1.08,4.91,7,1,13,8,2,280,64,4.2
Rajouri Garden,Delhi,13108,2.37,3.98,1,3,10,13,5,177,139,4.8
Vasant Kunj,Delhi,16345,11.47,1.54,6,3,16,5,9,80,11,2.8
Ashok Vihar,Delhi,12612,18.75,2.16,7,4,12,14,6,101,72,1.2
Ashok Vihar,Delhi,10401,3.32,3.22,2,6,18,7,2,97,97,1.4
Janakpuri,Delhi,9755,16.89,3.45,2,6,8,1,8,164,83,1.5
Mayur Vihar,Delhi,8856,7.72,2.91,5,6,10,7,6,208,105,4.3
Karol Bagh,Delhi,15151,10.41,2.78,6,1,1,9,9,55,134,1.2
Rohini,Delhi,6462,15.03,1.13,6,2,5,0,5,116,189,4.3
Malviya Nagar,Delhi,14627,16.38,0.79,4,4,6,6,7,116,54,4.1
Pitampura,Delhi,13615,12.87,4.69,7,6,3,14,6,165,184,2.1
Janakpuri,Delhi,11747,9.21,3.74,1,6,8,8,1,186,17,1.4
Vasant Kunj,Delhi,15986,16.57,4.39,1,9,1,10,1,113,146,1.0
Tilak Nagar,Delhi,8954,2.66,0.35,7,9,18,6,4,144,194,4.7
Laxmi Nagar,Delhi,9272,16.91,0.82,1,6,19,9,6,218,85,3.3
Rajouri Garden,Delhi,13115,1.05,0.99,4,3,11,9,2,201,33,2.9
Karol Bagh,Delhi,15169,17.27,1.36,8,6,2,0,3,183,13,3.0
Ashok Vihar,Delhi,11543,6.31,1.81,7,8,16,1,6,157,12,2.8
Kamla Nagar,Delhi,12057,14.8,2.81,8,2,5,4,4,83,38,1.7
Rohini,Delhi,9811,1.95,1.55,9,9,13,5,1,184,103,2.3
Vasant Kunj,Delhi,16290,6.88,4.51,2,3,9,14,8,151,178,2.0
Laxmi Nagar,Delhi,9512,0.81,1.82,4,4,12,14,1,107,197,1.3
GTB Nagar,Delhi,8567,9.08,3.09,6,4,16,11,2,283,19,3.8
Ashok Vihar,Delhi,12800,14.24,1.26,3,2,11,13,6,106,92,4.1
Karol Bagh,Delhi,13513,10.97,4.64,4,1,19,7,7,251,182,4.4
Laxmi Nagar,Delhi,7485,10.27,4.06,6,6,5,8,8,212,110,2.1
Vasant Kunj,Delhi,17450,5.26,1.9,8,3,14,5,3,53,138,1.8
Vasant Kunj,Delhi,17970,19.93,4.66,3,9,10,1,4,173,114,2.0
Kamla Nagar,Delhi,11149,19.15,4.18,4,1,11,7,6,148,178,1.6
Vasant Kunj,Delhi,15660,5.9,4.31,9,7,4,5,6,102,58,3.3
Laxmi Nagar,Delhi,8137,14.63,2.61,6,3,1,11,2,232,118,1.4
Vasant Kunj,Delhi,17332,17.72,4.36,8,2,19,9,1,52,161,1.5
Vasant Kunj,Delhi,16971,6.01,2.18,9,4,6,12,2,96,43,1.0
Malviya Nagar,Delhi,15452,11.72,1.72,8,5,14,13,9,179,38,3.5
Pitampura,Delhi,12387,15.24,2.76,5,9,12,9,8,211,38,3.6
Ashok Vihar,Delhi,11315,7.08,3.11,8,5,11,9,1,75,51,4.0
Tilak Nagar,Delhi,10409,2.17,0.58,8,1,5,14,6,243,66,2.1
Tilak Nagar,Delhi,7773,18.36,2.73,4,1,12,7,4,239,48,1.3
Janakpuri,Delhi,10412,4.52,4.77,2,6,11,6,1,142,57,4.7
Okhla,Delhi,8575,18.7,3.25,3,9,2,6,3,181,153,4.0
Tilak Nagar,Delhi,10103,14.89,4.17,2,6,14,12,4,206,44,2.2
Laxmi Nagar,Delhi,9730,12.01,0.79,6,5,6,1,2,129,183,2.5
Janakpuri,Delhi,12699,12.55,4.49,1,9,9,8,4,68,145,1.6
Kamla Nagar,Delhi,9519,4.51,3.57,8,1,14,13,8,266,11,3.5
Rajouri Garden,Delhi,13399,5.09,0.74,5,7,14,8,6,275,24,2.3
Rajouri Garden,Delhi,12135,8.28,4.89,6,3,15,8,4,159,146,2.1
Dwarka,Delhi,9122,2.53,3.99,5,4,3,10,1,126,15,4.8
Pitampura,Delhi,10068,6.49,2.35,4,5,11,1,3,290,143,1.9
Vasant Kunj,Delhi,15660,16.9,4.89,7,2,1,11,9,231,83,4.6
Tilak Nagar,Delhi,8319,8.66,4.33,3,5,2,10,1,221,129,2.8
Tilak Nagar,Delhi,10091,1.39,2.99,5,1,5,9,1,214,179,1.2
Pitampura,Delhi,12126,11.7,4.9,5,7,17,3,3,94,14,1.5
GTB Nagar,Delhi,11093,9.28,3.4,1,4,1,3,8,185,180,3.8
Pitampura,Delhi,12537,2.06,3.19,3,4,9,10,2,119,117,2.0
Tilak Nagar,Delhi,7639,1.17,2.53,1,6,9,7,8,83,103,4.4
Kamla Nagar,Delhi,12385,19.1,4.72,1,3,16,14,7,274,25,1.5
Vasant Kunj,Delhi,15602,17.16,4.28,8,7,18,10,4,149,105,1.0
Mayur Vihar,Delhi,9785,17.91,3.58,5,9,11,9,6,183,102,1.0
Mukherjee Nagar,Delhi,8103,15.85,4.62,9,9,1,14,1,211,195,1.5
Pitampura,Delhi,12026,16.37,3.47,9,1,6,0,4,213,151,3.6
Mukherjee Nagar,Delhi,8250,16.96,1.94,7,7,7,0,1,268,113,3.3
Laxmi Nagar,Delhi,7404,8.68,2.25,8,2,8,8,2,63,18,3.0
Dwarka,Delhi,11064,3.26,0.84,1,8,11,12,6,61,174,2.3
Malviya Nagar,Delhi,14994,5.66,0.14,3,6,6,5,2,150,118,2.9
Rajouri Garden,Delhi,11228,4.88,3.79,3,2,17,10,1,244,102,3.2
Okhla,Delhi,7558,3.77,2.94,5,1,15,5,6,59,90,4.1
Malviya Nagar,Delhi,15233,12.81,2.68,7,9,7,5,8,115,177,2.1
Dwarka,Delhi,11202,4.43,3.09,3,4,6,0,2,100,12,4.8
Pitampura,Delhi,10908,16.34,1.79,5,5,6,3,8,85,114,3.3
GTB Nagar,Delhi,8321,15.82,2.49,2,5,5,5,1,206,96,2.2
Saket,Delhi,13575,12.01,2.97,2,1,1,1,2,233,92,3.0
Kamla Nagar,Delhi,12171,11.25,4.99,9,6,16,7,6,252,86,1.7
Tilak Nagar,Delhi,8336,12.98,2.11,2,9,13,9,5,157,178,1.8
Janakpuri,Delhi,10257,19.38,1.7,5,1,2,0,4,70,33,4.0
Mukherjee Nagar,Delhi,7859,3.57,1.18,7,5,2,13,9,270,34,1.0
Karol Bagh,Delhi,13755,1.48,3.0,3,5,1,6,7,202,70,1.0
Karol Bagh,Delhi,14282,2.8,3.16,7,5,9,7,9,141,186,1.6
Malviya Nagar,Delhi,14900,11.03,2.62,6,2,7,14,8,60,47,4.9
Rohini,Delhi,9075,2.88,4.43,3,9,16,0,4,230,175,1.1
Rajouri Garden,Delhi,11912,3.05,3.24,3,6,12,2,2,204,159,2.9
Rohini,Delhi,7210,15.21,2.38,9,7,11,13,2,207,157,2.9
Tilak Nagar,Delhi,8680,15.91,3.15,7,5,7,4,5,204,132,4.0
Saket,Delhi,14899,16.02,3.06,7,6,5,7,6,71,15,4.4
Okhla,Delhi,8953,12.39,2.85,5,2,6,1,6,67,49,4.7
Mayur Vihar,Delhi,10724,15.12,0.6,7,1,18,13,9,92,100,2.2
Saket,Delhi,15443,17.95,0.19,4,9,2,5,5,299,151,3.0
Okhla,Delhi,6838,6.66,1.09,2,7,14,0,4,221,129,2.3
Karol Bagh,Delhi,14989,19.58,3.68,9,5,13,2,4,78,178,2.9
Janakpuri,Delhi,12054,7.83,1.85,9,2,3,13,9,77,156,4.8
Janakpuri,Delhi,12034,7.35,0.79,5,6,7,10,9,264,188,2.4
Pitampura,Delhi,12574,19.53,1.9,2,7,18,12,5,100,163,2.5
Kamla Nagar,Delhi,11338,0.8,1.93,9,9,10,10,7,171,176,3.4
Mukherjee Nagar,Delhi,8303,10.02,0.28,2,7,5,5,5,134,178,3.3
Tilak Nagar,Delhi,8548,15.06,1.42,4,2,17,12,1,94,166,3.1
GTB Nagar,Delhi,8035,12.73,0.22,7,2,5,4,6,259,182,3.1
Saket,Delhi,16502,12.02,3.22,6,7,12,10,9,124,72,2.6
Kamla Nagar,Delhi,11343,13.94,2.82,8,1,15,12,6,115,65,3.9
Malviya Nagar,Delhi,12846,7.18,0.28,7,4,9,6,1,244,196,4.9
GTB Nagar,Delhi,8764,8.19,2.92,4,9,1,8,5,232,42,2.7
Karol Bagh,Delhi,15839,10.1,2.96,5,1,3,6,5,187,182,2.4
Rohini,Delhi,6829,3.53,3.71,8,4,7,13,3,148,198,4.8
Pitampura,Delhi,13156,7.15,1.12,5,6,8,9,5,222,194,4.7
Okhla,Delhi,8459,6.53,2.73,4,5,12,14,6,103,71,4.2
Mayur Vihar,Delhi,8400,7.1,3.31,5,7,14,0,4,128,59,3.7
Rajouri Garden,Delhi,13094,2.01,3.81,6,4,8,13,4,116,26,4.7
Mayur Vihar,Delhi,11883,16.28,2.76,7,3,13,14,3,197,11,1.1
Dwarka,Delhi,8296,13.07,3.72,3,5,10,2,7,119,169,3.5
Dwarka,Delhi,10924,1.33,3.29,7,8,9,3,5,148,156,2.8
Tilak Nagar,Delhi,10990,17.37,2.22,8,8,7,14,4,88,168,2.5
Karol Bagh,Delhi,12398,7.03,1.2,2,3,18,3,6,127,81,2.5
Laxmi Nagar,Delhi,10312,2.5,3.03,7,8,1,12,3,206,18,3.4
Okhla,Delhi,7467,2.86,2.72,5,9,4,13,9,291,152,1.7
Rohini,Delhi,6920,11.35,1.28,6,7,16,5,6,253,132,4.5
Mayur Vihar,Delhi,9361,1.03,4.03,3,4,14,0,7,147,11,4.0
Mukherjee Nagar,Delhi,9585,0.76,4.0,8,5,11,2,3,181,94,3.8
Pitampura,Delhi,13002,14.65,3.71,2,1,6,4,7,177,186,2.6
Karol Bagh,Delhi,13120,14.85,4.86,9,9,12,6,3,156,166,1.3
Dwarka,Delhi,11696,3.37,2.53,2,2,19,13,1,176,35,2.5
Dwarka,Delhi,10657,14.43,4.69,1,6,16,13,3,285,43,2.4
Mukherjee Nagar,Delhi,10148,5.57,2.33,8,3,11,5,1,242,58,3.9
GTB Nagar,Delhi,7845,19.65,3.17,5,8,1,4,3,121,88,4.9
Tilak Nagar,Delhi,10396,10.46,4.56,7,6,14,2,4,115,195,1.8
GTB Nagar,Delhi,9813,19.16,4.54,8,5,5,12,6,282,191,2.2
Okhla,Delhi,8312,11.04,1.8,1,4,13,11,5,51,87,4.5
Malviya Nagar,Delhi,15748,4.48,2.25,7,4,7,13,9,218,77,3.2
GTB Nagar,Delhi,8270,11.39,2.06,9,8,1,5,2,86,62,4.6
Rohini,Delhi,9382,1.4,1.95,6,9,12,14,3,185,65,3.8
Rohini,Delhi,6096,3.89,0.89,3,1,13,8,2,226,53,1.4
Karol Bagh,Delhi,12981,19.43,3.67,6,3,11,8,2,192,120,1.0
Mayur Vihar,Delhi,11898,0.95,0.55,9,6,9,6,3,211,77,4.7
Okhla,Delhi,8331,10.21,3.39,9,6,13,14,6,154,94,2.0
Rajouri Garden,Delhi,13599,14.24,3.76,1,8,19,5,4,79,47,3.7
Rohini,Delhi,6607,17.78,3.94,8,7,17,10,3,163,77,3.2
Malviya Nagar,Delhi,14150,19.57,4.79,1,4,16,11,2,124,159,3.8
Vasant Kunj,Delhi,16141,8.38,0.49,5,5,6,5,1,268,197,1.3
Mayur Vihar,Delhi,11766,4.87,1.06,2,9,8,13,6,78,184,3.9
Saket,Delhi,13071,18.96,3.38,8,5,16,7,9,124,82,3.7
Ashok Vihar,Delhi,12486,3.38,0.27,8,5,15,0,8,219,119,2.2
Tilak Nagar,Delhi,8479,12.82,4.71,3,4,5,13,3,273,73,2.0
Kamla Nagar,Delhi,9213,10.64,1.67,1,5,18,14,5,120,193,4.5
Laxmi Nagar,Delhi,7220,16.71,4.44,1,1,2,6,4,179,163,2.3
Dwarka,Delhi,9612,8.4,4.25,9,1,16,5,5,51,171,2.8
Janakpuri,Delhi,12656,3.69,0.64,7,7,1,2,1,181,69,2.2
Laxmi Nagar,Delhi,9188,7.51,3.13,9,2,13,11,8,82,66,3.7
GTB Nagar,Delhi,10501,12.94,0.25,9,6,18,7,6,268,172,5.0
Pitampura,Delhi,11222,13.89,4.73,4,1,11,0,7,198,145,4.3
Vasant Kunj,Delhi,15316,14.56,1.53,7,7,19,10,1,286,180,4.5
Rohini,Delhi,9297,5.65,4.53,1,9,18,12,9,181,121,2.8
Mukherjee Nagar,Delhi,9473,9.56,0.2,9,7,8,2,6,238,57,2.7
Mayur Vihar,Delhi,9808,2.71,3.85,6,6,3,12,2,61,62,4.6
Mukherjee Nagar,Delhi,8806,9.78,0.16,3,5,3,11,4,112,165,4.1
Mayur Vihar,Delhi,9802,0.73,3.69,7,6,15,3,4,139,130,3.7
Karol Bagh,Delhi,14360,3.42,4.35,9,1,9,1,5,118,161,2.9
Pitampura,Delhi,10726,16.63,0.72,3,6,7,0,1,251,64,2.3
Mukherjee Nagar,Delhi,9604,7.19,1.83,8,2,6,1,5,77,131,2.3
GTB Nagar,Delhi,9317,4.55,2.95,8,4,18,7,4,195,78,3.8
Ashok Vihar,Delhi,11838,11.08,4.82,8,4,4,11,2,144,93,1.7
Saket,Delhi,16351,18.0,1.21,4,6,10,3,2,235,81,1.0
Rajouri Garden,Delhi,11833,8.02,0.81,9,4,8,12,7,246,132,3.6
Malviya Nagar,Delhi,13296,2.39,3.3,2,6,19,8,2,213,48,4.0
Dwarka,Delhi,9628,15.83,1.09,6,4,1,3,8,100,117,1.1
Mayur Vihar,Delhi,10634,19.35,3.1,6,9,7,4,7,173,53,4.7
Ashok Vihar,Delhi,11611,12.94,4.9,7,1,17,1,5,187,35,4.5
Malviya Nagar,Delhi,12404,10.78,0.73,1,4,13,4,9,126,143,3.8
Tilak Nagar,Delhi,10813,2.86,2.24,7,7,7,4,5,73,153,1.6
Vasant Kunj,Delhi,16444,7.62,1.63,9,3,17,6,1,133,29,2.9
Rajouri Garden,Delhi,13686,5.45,4.23,9,9,14,6,5,62,135,2.0
Pitampura,Delhi,12017,9.83,3.22,3,5,3,3,6,287,124,3.5
Tilak Nagar,Delhi,7800,4.78,1.19,9,7,2,14,6,154,126,1.6
Janakpuri,Delhi,9571,15.53,2.18,5,5,1,0,3,116,98,4.0
Janakpuri,Delhi,9680,17.33,2.63,2,6,2,0,1,145,127,4.3
Rohini,Delhi,6755,1.53,1.41,6,7,19,12,8,246,130,1.5
Rohini,Delhi,9708,4.73,4.44,9,4,19,11,2,218,68,3.0
Tilak Nagar,Delhi,9724,11.47,3.09,1,1,12,1,4,169,85,2.2
Pitampura,Delhi,10336,1.61,3.82,1,3,9,6,7,271,199,1.2
Vasant Kunj,Delhi,16680,1.51,4.01,9,2,16,10,8,208,24,3.4
Okhla,Delhi,9533,15.29,1.5,9,6,12,2,1,175,44,2.5
Mukherjee Nagar,Delhi,6727,18.84,4.16,7,2,7,1,4,83,169,5.0
Karol Bagh,Delhi,13066,11.93,4.86,2,7,2,3,1,183,182,3.0
Pitampura,Delhi,11132,15.41,3.89,2,4,1,14,4,119,103,1.1
Okhla,Delhi,7738,10.44,1.39,4,4,1,11,4,78,13,1.6
Karol Bagh,Delhi,12079,9.94,4.73,4,4,4,8,9,64,177,3.3
Mayur Vihar,Delhi,11515,16.13,0.13,6,1,11,14,9,248,36,1.8
Vasant Kunj,Delhi,16417,12.66,4.61,4,9,6,8,8,115,113,2.0
Rajouri Garden,Delhi,12273,14.22,2.4,3,4,14,13,2,99,96,3.7
Tilak Nagar,Delhi,11489,6.04,2.4,1,8,6,4,3,230,199,1.8
Dwarka,Delhi,11425,4.83,3.59,8,7,8,7,2,182,63,4.0
GTB Nagar,Delhi,9883,16.76,0.79,4,2,19,3,9,256,10,4.6
Mayur Vihar,Delhi,11711,6.37,1.15,9,5,1,13,3,168,71,3.7
Mayur Vihar,Delhi,8403,1.86,0.21,2,7,11,10,6,58,131,4.9
Mayur Vihar,Delhi,10377,3.65,3.75,1,3,1,11,5,130,117,4.6
Vasant Kunj,Delhi,17669,2.24,3.27,8,9,10,4,2,272,117,2.7
Janakpuri,Delhi,11180,1.44,3.17,1,4,16,11,8,213,163,4.5
Mukherjee Nagar,Delhi,10440,17.55,3.46,5,9,15,4,3,57,167,4.4
Mayur Vihar,Delhi,10091,14.16,2.3,9,4,10,9,4,157,91,3.0
Janakpuri,Delhi,11768,19.27,4.98,2,7,2,8,1,288,77,4.0
Rajouri Garden,Delhi,13371,9.38,4.95,5,2,1,5,9,235,36,2.7
Rajouri Garden,Delhi,14507,2.2,2.41,4,4,2,12,6,292,140,4.6
Rohini,Delhi,6249,3.09,4.34,5,6,1,8,5,95,77,3.3
Laxmi Nagar,Delhi,8885,15.69,4.68,4,2,13,0,7,266,168,2.2
Saket,Delhi,16993,2.45,3.68,8,3,18,11,6,149,198,2.0
Kamla Nagar,Delhi,8604,10.48,2.69,9,5,11,10,1,249,164,4.0
Karol Bagh,Delhi,13705,4.0,3.01,8,6,9,12,8,50,144,3.9
Mukherjee Nagar,Delhi,8207,17.09,4.8,2,9,15,3,1,203,25,3.8
Karol Bagh,Delhi,14314,4.76,3.11,2,5,15,2,4,226,131,3.0
Okhla,Delhi,7681,3.71,1.31,2,3,6,1,8,52,82,4.0
GTB Nagar,Delhi,8153,8.6,0.92,4,2,19,10,3,285,13,1.5
GTB Nagar,Delhi,10206,3.04,1.89,1,9,5,9,4,197,198,1.0
Ashok Vihar,Delhi,10368,18.6,0.6,9,1,18,0,5,114,28,4.6
GTB Nagar,Delhi,7754,13.4,3.94,6,5,7,12,3,198,106,1.5
Pitampura,Delhi,11155,8.81,3.56,2,4,16,7,9,177,117,2.7
GTB Nagar,Delhi,11114,5.7,4.33,3,8,11,10,3,92,106,3.3
Rohini,Delhi,7265,2.99,4.12,5,3,11,8,5,298,76,3.2
Tilak Nagar,Delhi,10862,10.4,2.79,7,2,6,14,8,81,33,1.1
Mayur Vihar,Delhi,11367,10.6,2.34,6,6,6,14,3,98,126,3.4
Tilak Nagar,Delhi,8989,11.68,2.15,1,5,18,14,9,277,137,3.7
Dwarka,Delhi,11873,5.41,0.12,7,2,1,8,4,147,156,2.3
Saket,Delhi,16816,13.46,1.17,3,1,2,7,6,283,21,1.2
Pitampura,Delhi,11510,12.29,3.77,3,1,14,0,9,199,162,3.8
Laxmi Nagar,Delhi,8009,1.39,0.57,9,8,19,7,4,294,15,2.0
Saket,Delhi,16103,18.82,4.92,1,2,13,14,8,293,128,3.9
Malviya Nagar,Delhi,12529,9.43,3.91,5,5,14,11,5,109,166,1.9
Tilak Nagar,Delhi,11470,10.39,0.95,4,6,16,8,1,98,36,1.0
GTB Nagar,Delhi,8934,16.51,0.91,8,3,18,10,9,159,104,4.3
Ashok Vihar,Delhi,9878,17.23,3.76,8,4,9,10,5,293,160,2.3
Janakpuri,Delhi,11248,15.14,4.54,1,9,5,1,2,162,151,2.2
Saket,Delhi,15950,6.66,1.65,2,5,8,13,9,214,66,2.3
Rohini,Delhi,9255,15.22,3.03,5,1,2,3,4,81,126,4.2
GTB Nagar,Delhi,7948,6.18,0.99,4,5,3,2,6,111,37,2.5
Tilak Nagar,Delhi,7779,5.52,1.29,8,3,6,2,8,214,133,3.9
Janakpuri,Delhi,10982,5.69,0.23,8,7,5,3,1,71,64,2.8
Laxmi Nagar,Delhi,10522,6.5,1.9,2,4,9,11,7,203,172,1.6
Tilak Nagar,Delhi,10005,5.4,2.86,3,8,10,9,2,79,42,3.7
Vasant Kunj,Delhi,15891,10.54,3.89,1,9,14,12,4,107,34,2.3
Pitampura,Delhi,13384,18.65,1.63,5,6,17,9,9,129,170,4.1
Saket,Delhi,14661,7.98,1.5,7,4,19,2,7,174,159,4.8
Mayur Vihar,Delhi,9929,4.53,1.86,2,7,12,8,9,261,124,4.8
Kamla Nagar,Delhi,12455,9.76,3.52,1,7,4,10,1,83,29,4.4
Mayur Vihar,Delhi,10039,15.18,0.49,1,5,7,2,2,64,82,4.8
Rohini,Delhi,7058,13.05,2.16,1,7,7,7,1,253,39,2.8
Janakpuri,Delhi,12804,19.1,4.83,2,2,12,3,7,72,145,2.4
Pitampura,Delhi,12300,10.26,4.97,7,5,5,10,6,273,125,2.6
Kamla Nagar,Delhi,11024,1.38,1.15,5,6,17,6,1,167,125,4.1
Okhla,Delhi,9061,11.49,1.28,9,9,1,12,1,56,108,4.0
Kamla Nagar,Delhi,9105,13.67,3.82,7,8,9,3,3,132,12,2.2
Tilak Nagar,Delhi,10787,16.46,0.62,8,5,15,0,3,63,12,2.0
Kamla Nagar,Delhi,11899,10.29,3.89,9,7,4,0,9,190,22,1.1
Dwarka,Delhi,9505,18.73,0.72,2,2,8,7,1,150,103,1.7
GTB Nagar,Delhi,8694,1.33,1.97,3,9,17,1,1,222,122,2.2
Laxmi Nagar,Delhi,8244,19.72,0.33,1,9,16,3,1,252,131,2.8
GTB Nagar,Delhi,9590,4.84,1.7,8,5,19,7,5,214,48,3.5
Okhla,Delhi,6896,5.79,1.6,5,7,19,7,7,70,152,3.6
Janakpuri,Delhi,11692,9.52,4.02,9,9,16,10,7,67,37,3.0
Laxmi Nagar,Delhi,7070,8.81,1.08,6,7,13,7,1,81,11,4.1
Mayur Vihar,Delhi,10339,11.25,4.72,3,1,14,4,4,178,91,2.0
Ashok Vihar,Delhi,12025,12.89,0.98,8,2,13,10,2,299,43,2.0
Janakpuri,Delhi,11605,15.25,4.52,4,7,5,10,5,154,27,4.8
GTB Nagar,Delhi,11169,12.69,0.67,7,9,6,3,2,109,33,1.1
Ashok Vihar,Delhi,10647,3.2,2.29,1,1,10,12,3,170,120,2.4
Mukherjee Nagar,Delhi,7944,12.92,2.1,5,5,9,8,6,110,104,4.9
Ashok Vihar,Delhi,9912,4.45,3.4,9,9,11,5,7,92,123,1.8
Rohini,Delhi,9238,19.4,4.18,2,4,6,9,5,201,37,3.8
Karol Bagh,Delhi,12124,0.78,1.66,9,1,12,8,8,270,185,4.1
Mukherjee Nagar,Delhi,7548,2.98,3.66,3,3,17,7,4,98,16,4.1
Kamla Nagar,Delhi,10258,1.62,4.94,3,6,6,12,1,120,26,1.5
Rohini,Delhi,7206,15.5,1.51,4,5,19,8,1,100,161,1.4
Mukherjee Nagar,Delhi,7741,4.54,3.36,5,6,14,12,3,170,122,2.2
Mayur Vihar,Delhi,9401,19.1,2.5,5,7,3,3,6,64,62,1.6
Rohini,Delhi,9946,3.42,2.73,2,6,11,3,2,70,194,2.0
Malviya Nagar,Delhi,14095,16.81,3.61,8,4,13,8,7,289,57,4.3
Tilak Nagar,Delhi,10444,17.5,2.58,8,3,19,1,8,90,92,3.8
Pitampura,Delhi,13133,19.36,2.06,1,8,5,3,9,165,92,2.8
Laxmi Nagar,Delhi,10635,13.76,1.88,1,2,13,6,1,113,40,3.0
Okhla,Delhi,6162,4.57,1.75,4,3,5,13,5,92,25,1.0
GTB Nagar,Delhi,10292,5.8,4.88,4,2,10,14,8,193,162,4.9
Rajouri Garden,Delhi,14235,7.49,1.47,3,7,5,10,2,164,130,1.2
Rohini,Delhi,6488,16.47,0.84,8,1,13,4,1,229,123,3.1
Saket,Delhi,14285,5.92,2.16,6,4,11,8,2,140,13,2.1
Mukherjee Nagar,Delhi,10341,0.75,4.45,5,5,16,5,1,57,63,1.2
Karol Bagh,Delhi,12800,7.37,4.7,2,9,19,6,3,282,199,2.3
Okhla,Delhi,9260,12.94,1.76,5,6,7,11,6,181,186,2.6
GTB Nagar,Delhi,7540,11.41,2.75,8,6,16,13,2,58,76,3.3
Kamla Nagar,Delhi,9538,2.1,3.34,6,1,1,10,1,69,112,4.5
Rajouri Garden,Delhi,14902,6.45,0.54,2,3,3,7,6,243,108,4.3
Vasant Kunj,Delhi,16626,4.58,4.24,4,8,10,6,8,237,117,1.9
Ashok Vihar,Delhi,11761,18.46,3.69,6,9,6,4,2,187,39,4.8
Saket,Delhi,16933,9.49,2.62,7,8,8,8,8,228,149,3.3
